epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1227.7,1.73941,1.40096,1.41321,0.81858,0.48397,0.53249,0.26328,1.83299,1.46581,1.74435,0.000332613,0.000332613,0.000332613
2,2046.04,1.72647,1.2347,1.40889,0.84922,0.47687,0.5293,0.26876,1.81861,1.46272,1.7371,0.000652761,0.000652761,0.000652761
3,2913.5,1.69266,1.18827,1.39128,0.76723,0.53363,0.56598,0.29743,1.76411,1.42416,1.70204,0.000959709,0.000959709,0.000959709
4,3584.78,1.65965,1.14204,1.37536,0.7494,0.54674,0.57452,0.30007,1.68227,1.23017,1.60678,0.0009406,0.0009406,0.0009406
5,4364.83,1.627,1.07035,1.35551,0.79193,0.5602,0.60451,0.33417,1.63396,1.16982,1.5727,0.0009208,0.0009208,0.0009208
6,5066.44,1.59744,1.04649,1.34145,0.67895,0.58673,0.61644,0.34411,1.60789,1.14675,1.55002,0.000901,0.000901,0.000901
7,5719.88,1.5867,1.02786,1.3336,0.59924,0.63068,0.6233,0.34751,1.59226,1.0608,1.54798,0.0008812,0.0008812,0.0008812
8,6589.92,1.57572,1.00096,1.32819,0.71457,0.58736,0.62684,0.35523,1.57581,1.07168,1.53193,0.0008614,0.0008614,0.0008614
9,7386.21,1.56194,0.9784,1.3172,0.67579,0.61887,0.63994,0.35289,1.58745,1.12913,1.57006,0.0008416,0.0008416,0.0008416
10,8114.73,1.53441,0.95858,1.30266,0.76799,0.60034,0.65743,0.37324,1.57771,1.02494,1.53985,0.0008218,0.0008218,0.0008218
11,8958.52,1.53265,0.94439,1.30279,0.71641,0.659,0.68565,0.37904,1.55821,0.9849,1.51695,0.000802,0.000802,0.000802
12,9565.08,1.51295,0.92938,1.29354,0.70244,0.63961,0.66692,0.37792,1.57671,1.00787,1.53742,0.0007822,0.0007822,0.0007822
13,10169.4,1.50885,0.91123,1.28448,0.71772,0.64123,0.67721,0.38451,1.54294,1.00759,1.51171,0.0007624,0.0007624,0.0007624
14,10892.9,1.49405,0.90533,1.28114,0.65268,0.6787,0.68217,0.3892,1.50548,0.96853,1.47735,0.0007426,0.0007426,0.0007426
15,11720.5,1.48842,0.88858,1.27481,0.65335,0.70312,0.68945,0.38702,1.52395,0.958,1.50363,0.0007228,0.0007228,0.0007228
16,12476.2,1.47855,0.88256,1.27253,0.72182,0.65615,0.69919,0.38802,1.50412,0.94561,1.47954,0.000703,0.000703,0.000703
17,13317.1,1.46261,0.87101,1.26402,0.70826,0.70125,0.72226,0.41553,1.50697,0.91713,1.47152,0.0006832,0.0006832,0.0006832
18,14080.6,1.46626,0.86638,1.26627,0.7093,0.69263,0.72173,0.40797,1.48075,0.90464,1.46771,0.0006634,0.0006634,0.0006634
19,14760.4,1.44854,0.84873,1.25797,0.81369,0.6671,0.73093,0.42214,1.49506,0.91697,1.47985,0.0006436,0.0006436,0.0006436
20,15486.6,1.44378,0.83299,1.25528,0.73369,0.6891,0.72237,0.4185,1.49121,0.89957,1.46877,0.0006238,0.0006238,0.0006238
21,16248,1.43412,0.82702,1.24968,0.75781,0.72244,0.7437,0.42027,1.48101,0.87516,1.47443,0.000604,0.000604,0.000604
22,17052.5,1.43035,0.82711,1.24833,0.72043,0.72021,0.72722,0.4158,1.47833,0.88928,1.47067,0.0005842,0.0005842,0.0005842
23,17696.5,1.42079,0.80722,1.24096,0.75342,0.70069,0.74521,0.42852,1.4882,0.88961,1.48233,0.0005644,0.0005644,0.0005644
24,18550.8,1.41442,0.80777,1.24621,0.75458,0.7033,0.73901,0.42652,1.47045,0.86456,1.47197,0.0005446,0.0005446,0.0005446
25,19200.6,1.4021,0.80065,1.23581,0.73263,0.75857,0.75573,0.43138,1.46921,0.85123,1.46976,0.0005248,0.0005248,0.0005248
26,20075.6,1.406,0.78721,1.23593,0.77898,0.71321,0.75734,0.44015,1.47383,0.85336,1.45776,0.000505,0.000505,0.000505
27,20792.9,1.39779,0.78054,1.22834,0.72757,0.73259,0.75851,0.44289,1.44573,0.87734,1.43887,0.0004852,0.0004852,0.0004852
